iter	RMSE
0	0.8945876405
1	0.8636910148
2	0.8347631937
3	0.8073032699
4	0.7813842467
5	0.7569360505
6	0.7342822098
7	0.7127601582
8	0.6922923009
9	0.6730817853
10	0.6552267304
11	0.6383151183
12	0.6223856329
13	0.6066309342
14	0.592577925
15	0.5792079725
16	0.5667287113
17	0.5542687235
18	0.5426278882
19	0.5324652489
20	0.5222584375
21	0.5132329107
22	0.5045322218
23	0.4958785195
24	0.4875939514
25	0.4799858607
26	0.4732000531
27	0.4667173961
28	0.4604433058
29	0.4545743279
30	0.4490083347
31	0.4440858306
32	0.4388948938
33	0.4341773467
34	0.4298000622
35	0.425745552
36	0.422218383
37	0.4186559133
38	0.4155587438
39	0.4124457175
40	0.4090975364
41	0.4062657211
42	0.4036604594
43	0.4011782533
44	0.3988795413
45	0.3969129887
46	0.3944810823
47	0.3927926816
48	0.3906875618
49	0.3881718318
50	0.3863195606
51	0.3843420504
52	0.3825086773
53	0.3806339919
54	0.3788677858
55	0.3770482962
56	0.3755270916
57	0.3734348316
58	0.3716487727
59	0.3706893146
60	0.3692993323
61	0.3683489383
62	0.3669059053
63	0.3655972264
64	0.3643118489
65	0.3635021521
66	0.3618806711
67	0.3605032761
68	0.3594410693
69	0.3582726365
70	0.3575500939
71	0.3566444513
72	0.3552706832
73	0.3547078937
74	0.3536195878
75	0.3525430245
76	0.351223212
77	0.3497770348
78	0.3492775501
79	0.3482660072
80	0.3473234645
81	0.3465937023
82	0.3461524143
83	0.3449888351
84	0.3437437959
85	0.3429187641
86	0.3420728914
87	0.3414579443
88	0.340821893
89	0.3402483534
90	0.3397409833
91	0.3390678233
92	0.3384237642
93	0.3378105297
94	0.3373667244
95	0.3369377834
96	0.3363707744
97	0.3353862651
98	0.3346422801
99	0.3342392434
100	0.3337989297
101	0.3327621918
102	0.3322617582
103	0.3318838426
104	0.331384182
105	0.3307490706
106	0.3300666783
107	0.3297459797
108	0.3293967002
109	0.329100367
110	0.3286753408
111	0.3277459786
112	0.3275323081
113	0.3271603739
114	0.3264256135
115	0.3261739427
116	0.3254803434
117	0.3249778651
118	0.3247502835
119	0.3241773408
120	0.3236089234
121	0.3233291847
122	0.3228626994
123	0.3221497614
124	0.3219315395
125	0.321703789
126	0.3212885068
127	0.3210901728
128	0.3204759696
129	0.3202267742
130	0.3200021126
131	0.3197272509
132	0.3194852506
133	0.3189942343
134	0.3186840796
135	0.31844121
136	0.3182164123
137	0.3180412635
138	0.3174646741
139	0.3171850545
140	0.3168640581
141	0.3166684908
142	0.3165103741
143	0.316038046
144	0.3158095439
145	0.3153852235
146	0.3147321394
147	0.3145687746
148	0.3144413214
149	0.3142777048
150	0.3139622779
151	0.3135272901
152	0.313341057
153	0.3130889765
154	0.3126035134
155	0.3123343828
156	0.3121413857
157	0.3116706227
158	0.3115558292
159	0.3109586454
160	0.3107496736
161	0.3105145858
162	0.3099449835
163	0.3094065939
164	0.3089601563
165	0.3085441999
166	0.3081484933
167	0.3079982866
168	0.3079209742
169	0.3077725813
170	0.3074123746
171	0.3072465034
172	0.3071064372
173	0.3069474448
174	0.3068508153
175	0.306472348
176	0.3063336953
177	0.305966995
178	0.3055452527
179	0.305016877
180	0.3048396378
181	0.3045706851
182	0.3040852177
183	0.3039587258
184	0.3035681848
185	0.3030496722
186	0.3028644131
187	0.3025136667
188	0.30211163
189	0.3017277314
190	0.3014754817
191	0.3010640968
192	0.3009528793
193	0.3005494033
