STAT_ID,variable,n,adf_p,kpss_p,verdict
400020,pH,30,0.0083,0.0791,Stationary
400020,SpecCond25C,30,0.0001,0.0979,Stationary
400020,DIP,29,0.0012,0.0177,Trend-stationary
400021,pH,31,0.0135,0.1,Stationary
400021,SpecCond25C,31,0.0,0.1,Stationary
400021,DIP,30,0.5176,0.0405,Non-stationary
400022,pH,26,0.0058,0.1,Stationary
400022,SpecCond25C,26,0.0109,0.1,Stationary
400022,DIP,26,0.1107,0.0754,Diff-stationary
400024,pH,29,0.0,0.1,Stationary
400024,SpecCond25C,29,0.0001,0.1,Stationary
400024,DIP,28,1.0,0.0845,Diff-stationary
400025,pH,36,0.0,0.0571,Stationary
400025,SpecCond25C,36,0.0566,0.1,Diff-stationary
400025,DIP,36,0.9966,0.01,Non-stationary
400026,pH,37,0.0675,0.0282,Non-stationary
400026,SpecCond25C,37,0.0006,0.1,Stationary
400026,DIP,37,0.4049,0.01,Non-stationary
400027,pH,23,0.0046,0.0254,Trend-stationary
400027,SpecCond25C,23,0.9966,0.1,Diff-stationary
400027,DIP,23,0.0002,0.0267,Trend-stationary
400028,pH,33,0.0709,0.0776,Diff-stationary
400028,SpecCond25C,33,0.0,0.1,Stationary
400028,DIP,33,0.0029,0.1,Stationary
400029,pH,36,0.0,0.0258,Trend-stationary
400029,SpecCond25C,36,0.0003,0.1,Stationary
400029,DIP,35,0.9499,0.0843,Diff-stationary
400030,pH,46,0.0105,0.0228,Trend-stationary
400030,SpecCond25C,36,0.0001,0.1,Stationary
400030,DIP,36,0.0,0.1,Stationary
400031,pH,36,0.0011,0.1,Stationary
400031,SpecCond25C,36,0.0022,0.1,Stationary
400031,DIP,35,0.0,0.1,Stationary
400032,pH,25,0.0421,0.0227,Trend-stationary
400032,SpecCond25C,25,0.0061,0.1,Stationary
400032,DIP,24,0.1847,0.1,Diff-stationary
400033,pH,36,0.0001,0.1,Stationary
400033,SpecCond25C,36,0.141,0.0533,Diff-stationary
400033,DIP,35,0.0,0.1,Stationary
400034,pH,28,0.0002,0.1,Stationary
400034,SpecCond25C,28,0.1808,0.0294,Non-stationary
400034,DIP,27,0.9829,0.0988,Diff-stationary
400035,pH,29,0.0,0.1,Stationary
400035,SpecCond25C,29,0.0807,0.0229,Non-stationary
400035,DIP,28,0.0117,0.1,Stationary
400037,pH,27,0.1334,0.1,Diff-stationary
400037,SpecCond25C,27,0.468,0.1,Diff-stationary
400037,DIP,27,0.9804,0.1,Diff-stationary
400038,pH,40,0.1194,0.1,Diff-stationary
400038,SpecCond25C,39,0.0005,0.0751,Stationary
400038,DIP,40,0.0047,0.1,Stationary
400039,pH,41,0.0,0.1,Stationary
400039,SpecCond25C,42,0.0007,0.1,Stationary
400039,DIP,41,0.249,0.0684,Diff-stationary
400040,pH,48,0.1343,0.0373,Non-stationary
400040,SpecCond25C,48,0.0431,0.0351,Trend-stationary
400040,DIP,48,0.0001,0.1,Stationary
400070,pH,44,0.0,0.1,Stationary
400070,SpecCond25C,44,0.02,0.1,Stationary
400070,Cl,43,0.0,0.1,Stationary
400070,SO4,44,0.1095,0.1,Diff-stationary
400070,DIP,43,0.0,0.1,Stationary
400071,pH,42,0.002,0.0346,Trend-stationary
