STAT_ID,Latitude,Longitude,geometry
400001,-32.31,18.33,POINT (18.33 -32.31)
400002,-32.31,18.34,POINT (18.34 -32.31)
400003,-32.31,18.34,POINT (18.34 -32.31)
400004,-32.31,18.35,POINT (18.35 -32.31)
400005,-32.34,18.42,POINT (18.42 -32.34)
400006,-32.34,18.42,POINT (18.42 -32.34)
400008,-32.5,18.6,POINT (18.6 -32.5)
400011,-32.6,18.77,POINT (18.77 -32.6)
400012,-32.2,18.38,POINT (18.38 -32.2)
400013,-32.08,18.37,POINT (18.37 -32.08)
400014,-25.59,27.29,POINT (27.29 -25.59)
400016,-32.1,18.39,POINT (18.39 -32.1)
400017,-32.11,18.42,POINT (18.42 -32.11)
400018,-32.34,18.71,POINT (18.71 -32.34)
400019,-32.25,18.75,POINT (18.75 -32.25)
400020,-32.81,27.63,POINT (27.63 -32.81)
400021,-32.85,27.65,POINT (27.65 -32.85)
400022,-32.89,27.75,POINT (27.75 -32.89)
400023,-32.89,27.77,POINT (27.77 -32.89)
400024,-32.91,27.8,POINT (27.8 -32.91)
400025,-31.49,28.47,POINT (28.47 -31.49)
400026,-31.48,28.5,POINT (28.5 -31.48)
400027,-31.55,28.74,POINT (28.74 -31.55)
400028,-31.57,28.77,POINT (28.77 -31.57)
400029,-31.58,28.79,POINT (28.79 -31.58)
400030,-31.58,28.8,POINT (28.8 -31.58)
400031,-31.6,28.82,POINT (28.82 -31.6)
400032,-31.61,28.82,POINT (28.82 -31.61)
400033,-32.64,27.19,POINT (27.19 -32.64)
400034,-32.67,27.14,POINT (27.14 -32.67)
400035,-32.68,27.15,POINT (27.15 -32.68)
400036,-31.56,28.72,POINT (28.72 -31.56)
400037,-32.87,27.38,POINT (27.38 -32.87)
400038,-32.93,27.43,POINT (27.43 -32.93)
400039,-32.94,27.46,POINT (27.46 -32.94)
400040,-32.93,27.47,POINT (27.47 -32.93)
400041,-25.47,31.1,POINT (31.1 -25.47)
400042,-26.19,29.18,POINT (29.18 -26.19)
400043,-25.69,30.25,POINT (30.25 -25.69)
400044,-25.59,30.57,POINT (30.57 -25.59)
400045,-25.49,30.69,POINT (30.69 -25.49)
400046,-26.53,29.12,POINT (29.12 -26.53)
400047,-26.56,29.15,POINT (29.15 -26.56)
400050,-26.47,28.99,POINT (28.99 -26.47)
400051,-26.5,29.01,POINT (29.01 -26.5)
400052,-26.45,29.08,POINT (29.08 -26.45)
400053,-26.46,29.07,POINT (29.07 -26.46)
400054,-26.51,29.15,POINT (29.15 -26.51)
400055,-26.49,29.17,POINT (29.17 -26.49)
400057,-26.55,29.07,POINT (29.07 -26.55)
400059,-26.5,29.05,POINT (29.05 -26.5)
400060,-24.12,29.0,POINT (29 -24.12)
400061,-24.13,28.96,POINT (28.96 -24.13)
400062,-24.03,28.9,POINT (28.9 -24.03)
400063,-24.19,28.97,POINT (28.97 -24.19)
400064,-24.24,28.97,POINT (28.97 -24.24)
400065,-24.49,28.54,POINT (28.54 -24.49)
400066,-24.47,28.68,POINT (28.68 -24.47)
400067,-24.48,28.66,POINT (28.66 -24.48)
400068,-24.7,28.42,POINT (28.42 -24.7)
400069,-23.87,28.68,POINT (28.68 -23.87)
400070,-26.29,28.2,POINT (28.2 -26.29)
400071,-26.5,29.44,POINT (29.44 -26.5)
400072,-26.5,29.44,POINT (29.44 -26.5)
400073,-26.5,29.44,POINT (29.44 -26.5)
400074,-26.58,30.09,POINT (30.09 -26.58)
400075,-27.42,28.53,POINT (28.53 -27.42)
400078,-28.27,28.37,POINT (28.37 -28.27)
400079,-28.19,28.34,POINT (28.34 -28.19)
400080,-26.3,27.9,POINT (27.9 -26.3)
400083,-26.35,28.08,POINT (28.08 -26.35)
400084,-26.7,28.93,POINT (28.93 -26.7)
400085,-26.42,28.16,POINT (28.16 -26.42)
400086,-26.3,28.33,POINT (28.33 -26.3)
400087,-26.32,28.33,POINT (28.33 -26.32)
400088,-26.37,28.23,POINT (28.23 -26.37)
400089,-26.42,28.18,POINT (28.18 -26.42)
400090,-26.28,28.16,POINT (28.16 -26.28)
400091,-26.4,28.09,POINT (28.09 -26.4)
400097,-26.42,27.68,POINT (27.68 -26.42)
400099,-26.49,27.69,POINT (27.69 -26.49)
400102,-26.57,27.79,POINT (27.79 -26.57)
400106,-25.83,28.12,POINT (28.12 -25.83)
400107,-25.96,28.3,POINT (28.3 -25.96)
400108,-26.01,28.3,POINT (28.3 -26.01)
400109,-26.02,28.31,POINT (28.31 -26.02)
400110,-26.05,28.26,POINT (28.26 -26.05)
400111,-25.83,28.12,POINT (28.12 -25.83)
400112,-25.82,28.08,POINT (28.08 -25.82)
400113,-25.83,28.1,POINT (28.1 -25.83)
400115,-25.83,28.04,POINT (28.04 -25.83)
400116,-25.92,28.22,POINT (28.22 -25.92)
400117,-25.88,27.93,POINT (27.93 -25.88)
400118,-25.78,28.19,POINT (28.19 -25.78)
400119,-25.32,27.82,POINT (27.82 -25.32)
400120,-25.61,28.09,POINT (28.09 -25.61)
400123,-25.52,28.02,POINT (28.02 -25.52)
400125,-25.49,28.02,POINT (28.02 -25.49)
400127,-25.86,27.61,POINT (27.61 -25.86)
400132,-26.03,27.85,POINT (27.85 -26.03)
400133,-26.02,28.34,POINT (28.34 -26.02)
400134,-26.02,28.33,POINT (28.33 -26.02)
400137,-25.6,28.0,POINT (28 -25.6)
400138,-28.5,28.83,POINT (28.83 -28.5)
400139,-28.22,28.85,POINT (28.85 -28.22)
400140,-28.22,28.96,POINT (28.96 -28.22)
400143,-28.01,28.24,POINT (28.24 -28.01)
400145,-25.44,27.96,POINT (27.96 -25.44)
400146,-32.17,26.83,POINT (26.83 -32.17)
400147,-32.17,26.83,POINT (26.83 -32.17)
400148,-25.06,30.43,POINT (30.43 -25.06)
400149,-25.55,28.01,POINT (28.01 -25.55)
400150,-27.35,29.48,POINT (29.48 -27.35)
400153,-27.41,29.18,POINT (29.18 -27.41)
400154,-27.66,29.56,POINT (29.56 -27.66)
400155,-27.68,29.57,POINT (29.57 -27.68)
400156,-27.26,29.78,POINT (29.78 -27.26)
