STAT_ID,Latitude,Longitude,geometry,sc,ss,su,mt,va,vb,vi,pa,pb,pi,GLC_Artificial,GLC_Managed,GLC_Water,GLC_Aquatic_Veg,GLC_PERC_COV,Popdens_00,Soil_pH,SOC,Soil_wetness
400001,-32.31,18.33,POINT (18.33 -32.31),0.0,0.38,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.005508035,0.0,100.0,4.75,6.7,3.08,34.46
400002,-32.31,18.34,POINT (18.34 -32.31),0.0,0.38,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.005508035,0.0,100.0,4.75,6.7,3.08,34.46
400003,-32.31,18.34,POINT (18.34 -32.31),0.0,0.38,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.005510892,0.0,100.0,4.7,6.7,3.08,34.46
400004,-32.31,18.35,POINT (18.35 -32.31),0.0,0.38,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.005510892,0.0,100.0,4.7,6.7,3.08,34.46
400005,-32.34,18.42,POINT (18.42 -32.34),0.0,0.38,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.002830189,0.0,100.0,4.46,6.7,3.12,34.46
400006,-32.34,18.42,POINT (18.42 -32.34),0.0,0.38,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.002830189,0.0,100.0,4.46,6.7,3.12,34.46
400008,-32.5,18.6,POINT (18.6 -32.5),0.0,0.35,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,100.0,4.81,6.7,3.16,36.92
400011,-32.6,18.77,POINT (18.77 -32.6),0.0,0.08,2.50545310200932e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,100.0,6.43,6.73,3.08,42.01
400012,-32.2,18.38,POINT (18.38 -32.2),0.0,0.7,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,100.0,1.94,6.59,3.31,12.92
400013,-32.08,18.37,POINT (18.37 -32.08),0.0,0.48,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,100.0,4.92,6.62,3.19,12.88
400014,-25.59,27.29,POINT (27.29 -25.59),0.0,0.23,0.0,0.0043041335923509,0.0,0.05,0.01,0.0,0.33,0.0,0.05,0.15,0.004657954,0.0,100.0,129.73,6.69,3.86,29.61
400016,-32.1,18.39,POINT (18.39 -32.1),0.0,0.49,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,100.0,5.11,6.61,3.25,12.88
400017,-32.11,18.42,POINT (18.42 -32.11),0.0,0.64,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,100.0,6.47,6.56,3.46,12.92
